Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Rafael Pérez,78,CB,,186,76,Colombia,Libertadores,Junior
Luis Pérez,78,RB,,174,71,Spain,LaLiga,R. Valladolid CF
Fran Pérez,78,RM,"LM, RW",176,67,Spain,LaLiga,Valencia CF
Kike Pérez,78,CM,"CAM, CDM",184,80,Spain,LaLiga,R. Valladolid CF
Pavao Pervan,78,GK,,194,88,Austria,Bundesliga,VfL Wolfsburg
Andrea Petagna,78,ST,,190,85,Italy,Serie A,Monza
Oleksandr Pikhalyonok,78,CM,CAM,179,72,Ukraine,Ukrayina Liha,Dynamo Kyiv
Andrea Pinamonti,78,ST,,188,72,Italy,Serie A,Genoa
Marko Pjaca,78,LW,"CAM, RW, LM",186,83,Croatia,Liga Hrvatska,Dinamo Zagreb
Abdón Prats,78,ST,,181,81,Spain,LaLiga,RCD Mallorca
Dirk Proper,78,CDM,CM,168,63,Holland,Eredivisie,N.E.C. Nijmegen
Leopold Querfeld,78,CB,,190,83,Austria,Bundesliga,Union Berlin
Carlos Quintana,78,CB,,190,88,Argentina,Libertadores,Rosario Central
Dani Raba,78,RM,"ST, RW",184,76,Spain,LaLiga,CD Leganés
Diant Ramaj,78,GK,,188,81,Germany,Eredivisie,Ajax
Juanpe,78,CB,,190,80,Spain,LaLiga,Girona FC
Andrei Rațiu,78,RB,RM,183,72,Romania,LaLiga,Rayo Vallecano
Tim Ream,78,CB,,185,80,United States,MLS,Charlotte FC
Jason,78,RM,"LM, LW, RW",178,65,Spain,Liga Portugal,Arouca
Devyne Rensch,78,RB,"CB, LB",179,73,Holland,Eredivisie,Ajax
Amir Richardson,78,CM,CDM,195,79,Morocco,Serie A,Fiorentina
Jacob Rinne,78,GK,,188,87,Sweden,Allsvenskan,Djurgårdens IF
Mihailo Ristić,78,LB,,180,79,Serbia,LaLiga,RC Celta
Patricio Rodríguez,78,LW,"LM, ST",170,60,Argentina,Libertadores,Bolívar
Juan Gabriel Rodríguez,78,CB,,185,81,Argentina,Libertadores,Talleres
Santiago Rodríguez,78,CAM,"LW, ST",172,62,Uruguay,MLS,New York City FC
Mads Roerslev,78,RB,,184,67,Denmark,Premier League,Brentford
Gabriel Rojas,78,LB,LM,173,73,Argentina,Sudamericana,Racing Club
Cristian Roldan,78,RM,"CM, CAM, RW",172,75,United States,MLS,Sounders FC
Leo Román,78,GK,,189,83,Spain,LaLiga,RCD Mallorca
Isaac,78,ST,"LW, RW",184,70,Spain,LaLiga,Sevilla FC
Daan Rots,78,RM,RW,180,71,Holland,Eredivisie,FC Twente
Matteo Ruggeri,78,LM,LW,187,79,Italy,Serie A,Bergamo Calcio
Alan Ruiz,78,CAM,"CM, ST",183,78,Argentina,Liga Portugal,Estrela Amadora
Albert Rusnák,78,CAM,"CDM, CM",175,73,Slovakia,MLS,Sounders FC
André Franco,78,RM,"CM, CAM, RW",177,70,Portugal,Liga Portugal,FC Porto
Serdar Saatçı,78,CB,,190,90,Turkey,Liga Portugal,SC Braga
Abdelhamid Sabiri,78,CAM,"CM, ST",186,80,Morocco,Serie A,Fiorentina
Modibo Sagnan,78,CB,,187,85,Mali,Ligue 1,Montpellier
Hiroki Sakai,78,RB,,185,78,Japan,A-League,Auckland FC
Kike Salas,78,CB,LB,186,80,Spain,LaLiga,Sevilla FC
Ulises Sanchez,78,RM,"CM, RW",169,64,Argentina,Sudamericana,Belgrano
Iván Sánchez,78,RM,"CM, CAM, RW",169,66,Spain,LaLiga,R. Valladolid CF
Ilie Sánchez,78,CDM,"CB, CM",180,75,Spain,MLS,LAFC
Antonio Sánchez,78,RM,"CM, RW",179,78,Spain,LaLiga,RCD Mallorca
Arouna Sangante,78,CB,RB,189,76,Senegal,Ligue 1,Havre AC
Agustín Sant'Anna,78,RB,,173,72,Uruguay,Libertadores,River Plate
Liam Scales,78,CB,,188,85,Republic of Ireland,Scottish Prem,Celtic
Jeffrey Schlupp,78,LW,"CM, LM",178,72,Ghana,Premier League,Crystal Palace
Jan Schöppner,78,CDM,CM,190,78,Germany,Bundesliga,Heidenheim
Simone Scuffet,78,GK,,193,77,Italy,Serie A,Cagliari
Zito Luvumbo,78,ST,"LM, RM",171,65,Angola,Serie A,Cagliari
Aleksandar Sedlar,78,CB,CDM,180,79,Serbia,LaLiga,D. Alavés
Jordan Siebatcheu,78,ST,,191,86,United States,Bundesliga,Union Berlin
Kiliann Sildillia,78,RB,"CB, RM",186,84,France,Bundesliga,SC Freiburg
Ricardo Velho,78,GK,,188,88,Portugal,Liga Portugal,Farense
Santiago Simón,78,RM,"RB, CM, RW",181,74,Argentina,Libertadores,River Plate
Tim Skarke,78,ST,"RM, LM",181,79,Germany,Bundesliga,Union Berlin
Will Smallbone,78,CM,,183,75,Republic of Ireland,Premier League,Southampton
Eric Smith,78,CB,CDM,192,86,Sweden,Bundesliga,FC St. Pauli
Adam Smith,78,RB,,180,78,England,Premier League,AFC Bournemouth
Fábio Silva,78,ST,LW,185,75,Portugal,LaLiga,UD Las Palmas
Ola Solbakken,78,RM,"RW, LW",189,82,Norway,Serie A,Empoli
Santiago Sosa,78,CB,CDM,182,81,Argentina,Sudamericana,Racing Club
Marquinhos,78,LW,LM,174,65,Brazil,Liga Cyprus,APOEL FC
Cican Stanković,78,GK,,187,86,Austria,Hellas Liga,AEK Athens
Zack Steffen,78,GK,,191,86,United States,MLS,Colorado Rapids
Jack Stephens,78,CB,,185,75,England,Premier League,Southampton
Dujon Sterling,78,LB,"RB, CDM",180,81,England,Scottish Prem,Rangers
Gabriel Suazo,78,LB,LM,178,72,Chile,Ligue 1,Toulouse FC
Erik Sviatchenko,78,CB,,184,82,Denmark,MLS,Houston Dynamo
Karol Świderski,78,ST,CAM,184,78,Poland,MLS,Charlotte FC
Morlaye Sylla,78,LM,"RM, CM, LW",170,67,Guinea,Liga Portugal,Arouca
Haris Tabaković,78,ST,,194,90,Bosnia and Herzegovina,Bundesliga,TSG Hoffenheim
Yohei Takaoka,78,GK,,181,72,Japan,MLS,Whitecaps FC
Oussama Targhalline,78,CM,CDM,186,70,Morocco,Ligue 1,Havre AC
Jackson Tchatchoua,78,RB,"RM, LM",186,76,Cameroon,Serie A,Hellas Verona
Álvaro Tejero,78,RB,,174,69,Spain,LaLiga,RCD Espanyol
Brandon Thomas,78,ST,"LW, RW",175,71,Spain,Hellas Liga,PAOK FC
Dorukhan Toköz,78,CM,"CDM, RB",180,75,Turkey,Trendyol Süper Lig,Eyüpspor
Omar Haktab Traoré,78,RB,,187,80,Germany,Bundesliga,Heidenheim
Lassina Traoré,78,ST,,183,90,Burkina Faso,Ukrayina Liha,Shakhtar Donetsk
Mark Travers,78,GK,,191,82,Republic of Ireland,Premier League,AFC Bournemouth
Zlatko Tripić,78,LW,"RW, LM",182,74,Norway,Eliteserien,Viking FK
Axel Tuanzebe,78,CB,RB,185,75,England,Premier League,Ipswich
Ozan Tufan,78,CAM,ST,184,88,Turkey,Trendyol Süper Lig,Trabzonspor
Deniz Türüç,78,RM,"CM, RW",177,75,Turkey,Trendyol Süper Lig,Başakşehir
Konstantinos Tzolakis,78,GK,,193,80,Greece,Hellas Liga,Olympiacos FC
Salih Uçan,78,CM,"CDM, CAM",182,80,Turkey,Trendyol Süper Lig,Beşiktaş
Lesley Ugochukwu,78,CDM,CM,191,88,France,Premier League,Southampton
Mikael Uhre,78,ST,,188,86,Denmark,MLS,Philadelphia
Um Won Sang,78,RM,"RW, ST",173,63,Korea Republic,K League 1,Ulsan Hyundai
Vallejo,78,CB,,184,79,Spain,LaLiga,Real Madrid
Siebe Van der Heyden,78,CB,,185,76,Belgium,LaLiga,RCD Mallorca
Mike van der Hoorn,78,CB,,190,85,Holland,Eredivisie,FC Utrecht
Miloš Veljković,78,CB,,188,83,Serbia,Bundesliga,SV Werder Bremen
Diego Viera,78,CB,,186,89,Paraguay,Libertadores,Libertad
Héctor Villalba,78,LM,"RM, RW, LW",178,76,Paraguay,Libertadores,Libertad
Villalibre,78,ST,,184,87,Spain,LaLiga,D. Alavés
Nicolas Viola,78,CAM,,180,77,Italy,Serie A,Cagliari
Michel Vlap,78,LM,"CAM, LW",191,81,Holland,Eredivisie,FC Twente
Tomáš Vlček,78,CB,RB,182,73,Czech Republic,Česká Liga,Slavia Praha
Conrad Wallem,78,LM,"CAM, LW",180,73,Norway,Česká Liga,Slavia Praha
Joel Ward,78,RB,CB,188,83,England,Premier League,Crystal Palace
Owen Wijndal,78,LB,,176,65,Holland,Eredivisie,Ajax
Maximilian Wittek,78,LB,LM,173,68,Germany,Bundesliga,VfL Bochum 1848
Luke Woolfenden,78,CB,,193,80,England,Premier League,Ipswich
Ashley Young,78,RB,LB,175,65,England,Premier League,Everton
Miha Zajc,78,CM,CAM,178,72,Slovenia,Ligue 1,Toulouse FC
Carlos Zambrano,78,CB,,185,77,Peru,Libertadores,Alianza Lima
Anass Zaroury,78,LM,LW,178,68,Morocco,Ligue 1,RC Lens
Exequiel Zeballos,78,RM,"RW, LW",170,68,Argentina,Sudamericana,Boca Juniors
Akim Zedadka,78,RB,LB,173,72,Algeria,Ligue 1,LOSC Lille
Jaroslav Zelený,78,CB,"LB, LM",190,83,Czech Republic,Česká Liga,Sparta Praha
David Zima,78,CB,,190,80,Czech Republic,Česká Liga,Slavia Praha
Félix Correia,77,LM,"ST, LW",178,66,Portugal,Liga Portugal,Gil Vicente
Abdelkabir Abqar,77,CB,,188,80,Morocco,LaLiga,D. Alavés
Luis Abram,77,CB,LB,181,78,Peru,MLS,Atlanta United
Lautaro Acosta,77,CAM,"RM, LM",169,65,Argentina,Sudamericana,Lanús
Dapo Afolayan,77,RW,"LW, ST, RM",180,70,England,Bundesliga,FC St. Pauli
Lucien Agoumé,77,CM,CDM,188,72,France,LaLiga,Sevilla FC
Felix Agu,77,LB,RB,180,67,Germany,Bundesliga,SV Werder Bremen
Alfredo Aguilar,77,GK,,186,89,Paraguay,Sudamericana,Sportivo Luqueño
Akapo,77,RB,RM,179,70,Equatorial Guinea,MLS,SJ Earthquakes
Yunus Akgün,77,RM,"CAM, RW",173,65,Turkey,Trendyol Süper Lig,Galatasaray
Marvin,77,RM,"RB, RW",178,63,Spain,LaLiga,UD Las Palmas
Paul Akouokou,77,CDM,,181,68,Côte d'Ivoire,Ligue 1,Olympique Lyon
Ameen Al Dakhil,77,CB,,187,70,Belgium,Bundesliga,VfB Stuttgart
Danijel Aleksić,77,CM,CAM,182,75,Serbia,Trendyol Süper Lig,Konyaspor
Tadeo Allende,77,RM,"LM, ST, RW",185,73,Argentina,LaLiga,RC Celta
Facundo Altamirano,77,GK,,186,85,Argentina,Libertadores,San Lorenzo
Francisco Álvarez,77,CB,,180,74,Argentina,Sudamericana,Argentinos Jrs.
Robson Bambu,77,CB,,185,72,Brazil,Liga Portugal,SC Braga
Kelvin Amian,77,RB,CB,180,78,France,Ligue 1,FC Nantes
Dennis Appiah,77,RB,CB,179,68,France,Ligue 1,AS Saint-Étienne
Daniel Armstrong,77,RM,"RB, RW",175,64,Scotland,Scottish Prem,Kilmarnock
Yáser Asprilla,77,RW,"RM, CAM",175,75,Colombia,LaLiga,Girona FC
Tommaso Augello,77,LB,LM,180,70,Italy,Serie A,Cagliari
Gustavo Sá,77,CAM,CM,186,80,Portugal,Liga Portugal,FC Famalicão
Tiemoué Bakayoko,77,CDM,CM,189,85,France,Hellas Liga,PAOK FC
Mitchel Bakker,77,LM,"LB, LW",185,87,Holland,Ligue 1,LOSC Lille
Lameck Banda,77,LW,LM,162,69,Zambia,Serie A,Lecce
Federico Barba,77,CB,,185,80,Italy,Serie A,Como
David Barbona,77,CAM,"RM, CM",174,78,Argentina,Sudamericana,Defensa
Hernán Barcos,77,ST,,187,91,Argentina,Libertadores,Alianza Lima
Borna Barišić,77,LB,,186,80,Croatia,Trendyol Süper Lig,Trabzonspor
Maximilian Bauer,77,CB,,189,84,Germany,Bundesliga,FC Augsburg
Timo Becker,77,RB,"CB, RM",190,86,Germany,Bundesliga,Holstein Kiel
Kristijan Belić,77,CDM,CM,177,71,Serbia,Eredivisie,AZ
Stefan Bell,77,CB,,192,88,Germany,Bundesliga,1. FSV Mainz 05
Adrian Benedyczak,77,LM,"ST, RM, LW",191,78,Poland,Serie A,Parma
Daniel Bentley,77,GK,,188,73,England,Premier League,Wolves
Matúš Bero,77,CM,"CAM, RM",181,81,Slovakia,Bundesliga,VfL Bochum 1848
Benjamín Berríos,77,CM,CDM,169,67,Chile,Sudamericana,Everton
Stipe Biuk,77,LM,"RM, LW",182,70,Croatia,Liga Hrvatska,Hajduk Split
Sebastián Blanco,77,CAM,LM,170,68,Argentina,Libertadores,San Lorenzo
Lucas Blondel,77,RB,,178,75,Argentina,Sudamericana,Boca Juniors
Myron Boadu,77,ST,,181,67,Holland,Bundesliga,VfL Bochum 1848
Oscar Bobb,77,RW,RM,174,73,Norway,Premier League,Manchester City
Bruno Gaspar,77,RM,"RB, RW",178,70,Angola,Liga Portugal,Vitória SC
Toni Borevković,77,CB,,194,86,Croatia,Liga Portugal,Vitória SC
Sebastián Boselli,77,CB,RB,183,82,Uruguay,Libertadores,Estudiantes
Walter Bou,77,ST,"CAM, LW",174,74,Argentina,Sudamericana,Lanús
Róbert Boženík,77,ST,,188,80,Slovakia,Liga Portugal,Boavista FC
Matthias Braunöder,77,CM,CDM,174,67,Austria,Serie A,Como
Nathan Broadhead,77,LM,LW,178,73,Wales,Premier League,Ipswich
Gaston Brugman,77,CM,CDM,175,66,Uruguay,MLS,LA Galaxy
Gianni Bruno,77,ST,RW,180,73,Belgium,Trendyol Süper Lig,Eyüpspor
Hugo Bueno,77,LB,LM,180,73,Spain,Eredivisie,Feyenoord
Osman Bukari,77,RW,"ST, RM",170,68,Ghana,MLS,Austin FC
Cameron Burgess,77,CB,,194,81,Australia,Premier League,Ipswich
Wes Burns,77,RM,RW,179,68,Wales,Premier League,Ipswich
Marnon Busch,77,RB,,182,79,Germany,Bundesliga,Heidenheim
Jimmy Cabot,77,RB,RM,164,64,France,Ligue 1,RC Lens
Liberato Cacace,77,LB,LM,184,81,New Zealand,Serie A,Empoli
Déiber Caicedo,77,LM,"LW, CAM",168,69,Colombia,MLS,Whitecaps FC
Mady Camara,77,CM,CDM,182,80,Guinea,Hellas Liga,PAOK FC
Matteo Cancellieri,77,LW,"CAM, LM",180,79,Italy,Serie A,Parma
Antonio Candela,77,RB,,185,74,Italy,Serie A,Venezia
Víctor Cantillo,77,CDM,CM,180,70,Colombia,Libertadores,Junior
Johan Carbonero,77,LW,LM,170,71,Colombia,Sudamericana,Racing Club
Valentín Carboni,77,CAM,"ST, RM",185,78,Argentina,Ligue 1,OM
Carlos Mané,77,LM,"RW, RM, LW",173,63,Guinea-Bissau,Trendyol Süper Lig,Kayserispor
Óscar Cardozo,77,ST,,193,87,Paraguay,Libertadores,Libertad
Yago Cariello,77,ST,,186,82,Brazil,K League 1,Ulsan Hyundai
Carmona,77,RM,"RB, RW",183,80,Spain,LaLiga,Sevilla FC
Dário Essugo,77,CDM,CM,178,80,Portugal,LaLiga,UD Las Palmas
Byron Castillo,77,RB,RM,171,64,Ecuador,Libertadores,Barcelona SC
Lukáš Červ,77,CDM,CM,182,74,Czech Republic,Česká Liga,Viktoria Plzeň
Maxime Chanot,77,CB,,186,84,Luxembourg,MLS,LAFC
Jhoanner Chávez,77,LB,LM,182,76,Ecuador,Ligue 1,RC Lens
Leandro Chichizola,77,GK,,185,80,Argentina,Serie A,Parma
Hamza Choudhury,77,RB,"CDM, CM",178,64,England,Premier League,Leicester City
Anders Christiansen,77,CM,CAM,175,68,Denmark,Allsvenskan,Malmö FF
Carney Chukwuemeka,77,CAM,CM,187,77,England,Premier League,Chelsea
Zander Clark,77,GK,,193,80,Scotland,Scottish Prem,Hearts
Matías Cóccaro,77,ST,,178,73,Uruguay,MLS,CF Montréal
Germán Conti,77,CB,,193,81,Argentina,Sudamericana,Racing Club
Rodrigo Contreras,77,ST,,186,88,Argentina,Sudamericana,Everton
Derek Cornelius,77,CB,,188,86,Canada,Ligue 1,OM
Carlos Coronel,77,GK,,192,88,Paraguay,MLS,Red Bulls
Charlie Cresswell,77,CB,,191,77,England,Ligue 1,Toulouse FC
Pau Cubarsí,77,CB,,182,75,Spain,LaLiga,FC Barcelona
Rafael Czichos,77,CB,,187,86,Germany,MLS,Chicago Fire FC
Nuno da Costa,77,ST,,184,70,Cape Verde Islands,Trendyol Süper Lig,Kasımpaşa
Zé Pedro,77,CB,,187,80,Portugal,Liga Portugal,FC Porto
Riccieli,77,CB,,184,76,Brazil,Liga Portugal,FC Famalicão
Zuriko Davitashvili,77,LM,"RM, LW",175,63,Georgia,Ligue 1,AS Saint-Étienne
Luca de la Torre,77,CM,LM,177,63,United States,LaLiga,RC Celta
Artur,77,CDM,CM,181,70,Brazil,MLS,Houston Dynamo
Lorenzo De Silvestri,77,RB,RM,186,84,Italy,Serie A,Bologna
Tiago Esgaio,77,RB,"LB, CB",175,72,Portugal,Liga Portugal,Arouca
Daniel,77,GK,,188,80,Brazil,MLS,SJ Earthquakes
Alan,77,CAM,,165,57,Brazil,Liga Portugal,Moreirense FC
Koni De Winter,77,CB,RB,191,75,Belgium,Serie A,Genoa
Thomas Delaine,77,LB,LM,180,71,France,Ligue 1,Strasbourg
Rafael Delgado,77,LB,CB,178,79,Argentina,Sudamericana,Belgrano
Olivier Deman,77,LB,LM,181,70,Belgium,Bundesliga,SV Werder Bremen
Emmanuel Dennis,77,LM,"ST, LW",175,67,Nigeria,Premier League,Nott'm Forest
Cameron Devlin,77,CDM,CM,171,78,Australia,Scottish Prem,Hearts
Gianluca Di Chiara,77,LB,,186,78,Italy,Serie A,Parma
Oumar Diakité,77,ST,,182,75,Côte d'Ivoire,Ligue 1,Stade de Reims
Bamba Dieng,77,ST,,178,72,Senegal,Ligue 1,Angers SCO
Loïs Diony,77,ST,,183,82,France,Ligue 1,Angers SCO
Jaume,77,GK,,185,73,Spain,LaLiga,Valencia CF
Aron Dønnum,77,RM,"LM, RW",178,78,Norway,Ligue 1,Toulouse FC
Guéla Doué,77,RB,,187,84,Côte d'Ivoire,Ligue 1,Strasbourg
Ismaël Doukouré,77,CDM,"CM, CB",183,80,France,Ligue 1,Strasbourg
Carel Eiting,77,CM,CDM,178,72,Holland,Eredivisie,FC Twente
Jurgen Ekkelenkamp,77,CAM,"CM, CDM",188,74,Holland,Serie A,Udinese
Jack Elliott,77,CB,,198,83,England,MLS,Philadelphia
José Enamorado,77,LM,"LW, RM",167,58,Colombia,Libertadores,Junior
Arne Engels,77,CM,CDM,185,78,Belgium,Scottish Prem,Celtic
Martin Erlić,77,CB,,192,88,Croatia,Serie A,Bologna
Juan Espínola,77,GK,,185,89,Paraguay,Sudamericana,Belgrano
Sebastiano Esposito,77,ST,CAM,183,73,Italy,Serie A,Empoli
Nahuel Estévez,77,CDM,CM,181,77,Argentina,Serie A,Parma
Håkon Evjen,77,RW,"CAM, CM, RM",178,68,Norway,Eliteserien,FK Bodø/Glimt
Cláudio Falcão,77,CDM,"CM, CB",187,79,Brazil,Liga Portugal,Farense
Zinedine Ferhat,77,RM,"LM, RW",180,70,Algeria,Ligue 1,Angers SCO
Gerso,77,LW,"RW, ST, LM",172,62,Guinea-Bissau,K League 1,Incheon United
Álvaro Carreras,77,LB,LM,186,78,Spain,Liga Portugal,SL Benfica
Frederico Venâncio,77,CB,,186,82,Portugal,Liga Portugal,Santa Clara
Kilian Fischer,77,RB,"CM, RM",182,77,Germany,Bundesliga,VfL Wolfsburg
Ryan Flamingo,77,CB,CDM,185,73,Holland,Eredivisie,PSV Eindhoven
Malick Fofana,77,LW,LM,170,60,Belgium,Ligue 1,Olympique Lyon
David Datro Fofana,77,ST,,181,76,Côte d'Ivoire,Premier League,Chelsea
Yahia Fofana,77,GK,,194,89,Côte d'Ivoire,Ligue 1,Angers SCO
Jonas Föhrenbach,77,LB,,184,82,Germany,Bundesliga,Heidenheim
Nicolás Fonseca,77,CDM,CM,181,74,Uruguay,Libertadores,River Plate
Ryan Fraser,77,LW,LM,163,70,Scotland,Premier League,Southampton
Stefan Frei,77,GK,,191,88,United States,MLS,Sounders FC
Ramiro Funes Mori,77,CB,,187,79,Argentina,Libertadores,River Plate
Pedro Gallese,77,GK,,188,79,Peru,MLS,Orlando City
Ignatius Ganago,77,ST,LM,176,78,Cameroon,Ligue 1,FC Nantes
Ulisses Garcia,77,LB,,182,73,Switzerland,Ligue 1,OM
Kialonda Gaspar,77,CB,,193,88,Angola,Serie A,Lecce
Valère Germain,77,ST,,181,75,France,A-League,Macarthur FC
Lautaro Giannetti,77,CB,,185,80,Argentina,Serie A,Udinese
Dimitris Giannoulis,77,LB,,175,71,Greece,Bundesliga,FC Augsburg
Rafał Gikiewicz,77,GK,,190,81,Poland,PKO BP Ekstraklasa,Widzew Łódź
Jakob Glesnes,77,CB,,188,84,Norway,MLS,Philadelphia
Edoardo Goldaniga,77,CB,,188,79,Italy,Serie A,Como
Rodrigo Gomes,77,RW,"LW, RM",175,67,Portugal,Premier League,Wolves
Jonatan Gómez,77,CM,CAM,171,71,Argentina,Libertadores,Rosario Central
Unai Gómez,77,CAM,"CM, LM",183,74,Spain,LaLiga,Athletic Club
Paulo Bernardo,77,CM,,184,78,Portugal,Scottish Prem,Celtic
Luis González,77,LM,"CAM, LW",170,66,Venezuela,Libertadores,Junior
Sergio,77,CB,,186,67,Spain,LaLiga,CD Leganés
Stian Gregersen,77,CB,,192,83,Norway,MLS,Atlanta United
Julian Gressel,77,RM,"CM, RW",185,84,United States,MLS,Inter Miami CF
Carlos Gruezo,77,CDM,CM,173,71,Ecuador,MLS,SJ Earthquakes
Morgan Guilavogui,77,ST,RM,189,82,Guinea,Bundesliga,FC St. Pauli
Serdar Gürler,77,LM,"RM, LW",175,65,Turkey,Trendyol Süper Lig,Başakşehir
Yeison Guzmán,77,CAM,,169,65,Colombia,Sudamericana,Deportes Tolima
Kortney Hause,77,CB,,191,77,England,Premier League,Aston Villa
Christophe Hérelle,77,CB,,188,79,France,Trendyol Süper Lig,Bodrum FK
Javi Hernández,77,LB,CB,182,75,Spain,LaLiga,CD Leganés
Andrés Herrera,77,RB,,178,75,Argentina,MLS,Columbus Crew
Ki-Jana Hoever,77,RB,RM,183,73,Holland,Ligue 1,AJ Auxerre
Benedict Hollerbach,77,ST,"CAM, RM",181,78,Germany,Bundesliga,Union Berlin
Timo Horn,77,GK,,192,90,Germany,Bundesliga,VfL Bochum 1848
Hwang Ui Jo,77,ST,,185,78,Korea Republic,Premier League,Nott'm Forest
Jesús Imaz,77,CAM,ST,174,70,Spain,PKO BP Ekstraklasa,Jagiellonia
Sverrir Ingi Ingason,77,CB,,188,83,Iceland,Hellas Liga,Panathinaikos
Juan Iturbe,77,RM,"ST, LW, RW",169,73,Paraguay,Libertadores,Cerro Porteño
Václav Jemelka,77,CB,LB,187,81,Czech Republic,Česká Liga,Viktoria Plzeň
Jeong Woo Yeong,77,CAM,ST,179,71,Korea Republic,Bundesliga,Union Berlin
Erik Jirka,77,RM,"LM, RW",183,77,Slovakia,Česká Liga,Viktoria Plzeň
Lasse Berg Johnsen,77,CDM,CM,179,75,Norway,Allsvenskan,Malmö FF
Michael Johnston,77,LW,"LM, RW",178,66,Republic of Ireland,Scottish Prem,Celtic
DeJuan Jones,77,LB,RB,180,75,United States,MLS,Columbus Crew
Jhojan Julio,77,LM,"CAM, LW",168,68,Ecuador,Libertadores,LDU Quito
Tino Kadewere,77,ST,RM,183,72,Zimbabwe,Ligue 1,FC Nantes
Yann Karamoh,77,LM,"ST, RM, LW",185,80,France,Serie A,Torino
David Moberg Karlsson,77,CAM,RM,178,74,Sweden,Allsvenskan,IFK Norrköping
Yassine Kechta,77,CM,CDM,174,68,Morocco,Ligue 1,Havre AC
Olivier Kemen,77,CM,"CAM, CDM",177,76,Cameroon,Trendyol Süper Lig,Başakşehir
Marc-Oliver Kempf,77,CB,,186,87,Germany,Serie A,Como
Frankie Kent,77,CB,,188,76,England,Scottish Prem,Hearts
Wahbi Khazri,77,ST,LM,176,82,Tunisia,Ligue 1,Montpellier
Abdukodir Khusanov,77,CB,,186,84,Uzbekistan,Ligue 1,RC Lens
Semih Kılıçsoy,77,ST,"LW, RM",178,68,Turkey,Trendyol Süper Lig,Beşiktaş
Antonín Kinský,77,GK,,190,80,Czech Republic,Česká Liga,Slavia Praha
Joshua Kitolano,77,CM,CDM,170,71,Norway,Eredivisie,Sparta Rotterdam
Kenan Kodro,77,ST,,190,80,Bosnia and Herzegovina,Trendyol Süper Lig,Gaziantep
Mats Köhlert,77,LB,,162,62,Germany,Eredivisie,sc Heerenveen
Ondřej Kolář,77,GK,,193,81,Czech Republic,Česká Liga,Slavia Praha
Ismaël Koné,77,CM,,188,76,Canada,Ligue 1,OM
Jan Kopic,77,RM,"LM, RW",179,81,Czech Republic,Česká Liga,Viktoria Plzeň
Giannis Kotsiras,77,RB,CDM,183,77,Greece,Hellas Liga,Panathinaikos
Damir Kreilach,77,ST,CAM,186,78,Croatia,MLS,Whitecaps FC
Filip Krovinović,77,CAM,CM,177,70,Croatia,Liga Hrvatska,Hajduk Split
Luca Langoni,77,RM,"ST, RW",173,66,Argentina,MLS,New England
Sam Larsson,77,LM,"CAM, ST, LW",180,70,Sweden,Trendyol Süper Lig,Antalyaspor
Tobias Lauritsen,77,ST,,194,85,Norway,Eredivisie,Sparta Rotterdam
Tom Lawrence,77,CAM,LM,180,75,Wales,Scottish Prem,Rangers
Amor Layouni,77,RW,"LW, RM",191,81,Tunisia,Allsvenskan,BK Häcken
Lee Seung Woo,77,CAM,"CM, LW",173,63,Korea Republic,K League 1,Jeonbuk Hyundai
Maxim Leitsch,77,CB,,189,83,Germany,Bundesliga,1. FSV Mainz 05
Alan Lescano,77,CM,"CAM, RM",182,67,Argentina,Sudamericana,Argentinos Jrs.
Martin Linnes,77,RB,,177,72,Norway,Eliteserien,Molde FK
Robert Ljubičić,77,CM,"CAM, LB",180,69,Croatia,Hellas Liga,AEK Athens
Raúl Loaiza,77,CDM,CM,180,70,Colombia,Sudamericana,Lanús
Roberto López,77,CAM,"RM, ST",180,70,Spain,LaLiga,CD Leganés
Lorenzo Lucca,77,ST,,201,80,Italy,Serie A,Udinese
Abel Luciatti,77,CB,LB,178,67,Argentina,Sudamericana,Lanús
Tomás Ribeiro,77,CB,,185,77,Portugal,Liga Portugal,Vitória SC
Álvaro Madrid,77,CM,CDM,179,78,Chile,Sudamericana,Everton
Soungoutou Magassa,77,CB,,188,75,France,Ligue 1,AS Monaco
Frank Magri,77,ST,LM,178,75,Cameroon,Ligue 1,Toulouse FC
Gaius Makouta,77,CDM,"CM, CAM",180,75,Congo,Trendyol Süper Lig,Alanyaspor
Youssef Maleh,77,CM,,177,74,Morocco,Serie A,Empoli
Facundo Mallo,77,CB,,186,81,Uruguay,Libertadores,Rosario Central
Christos Mandas,77,GK,,189,73,Greece,Serie A,Lazio
Vito Mannone,77,GK,,189,77,Italy,Ligue 1,LOSC Lille
Jonas Martin,77,CDM,CM,184,77,France,Ligue 1,Stade Brestois 29
Alexis Martín Arias,77,GK,,185,79,Argentina,Libertadores,Cerro Porteño
Aarón,77,LB,LM,178,70,Spain,Serie A,Genoa
Mauricio Martínez,77,CDM,"CM, CB",183,80,Argentina,Libertadores,Rosario Central
David Martínez,77,CB,LB,182,76,Paraguay,MLS,Inter Miami CF
Josef Martínez,77,ST,,173,74,Venezuela,MLS,CF Montréal
Adam Masina,77,CB,LB,191,87,Morocco,Serie A,Torino
Lukáš Masopust,77,RM,"RB, RW",179,76,Czech Republic,Česká Liga,Slavia Praha
Eliot Matazo,77,CDM,CM,170,67,Belgium,Ligue 1,AS Monaco
