Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Mattia Zaccagni,88,LW,"CAM, LM",177,63,Italy,Serie A,Lazio
Duván Zapata,88,ST,,188,92,Colombia,Serie A,Torino
Isco,87,CAM,"LM, CM",176,79,Spain,LaLiga,Real Betis
Joelinton,87,CM,LW,186,81,Brazil,Premier League,Newcastle United
Pepê,87,CAM,"RM, LM",173,72,Brazil,Liga Portugal,FC Porto
Leon Bailey,87,RM,"ST, RW",178,77,Jamaica,Premier League,Aston Villa
Oliver Baumann,87,GK,,187,82,Germany,Bundesliga,TSG Hoffenheim
Victor Boniface,87,ST,,190,91,Nigeria,Bundesliga,Bayer Leverkusen
Sven Botman,87,CB,,193,81,Holland,Premier League,Newcastle United
Jarrod Bowen,87,RM,"ST, RW",175,70,England,Premier League,West Ham United
Moisés Caicedo,87,CDM,CM,178,73,Ecuador,Premier League,Chelsea
Emre Can,87,CDM,CB,186,86,Germany,Bundesliga,Borussia Dortmund
Marco Carnesecchi,87,GK,,191,83,Italy,Serie A,Bergamo Calcio
Lucas Paquetá,87,LM,"CAM, LW",180,72,Brazil,Premier League,West Ham United
Ángel Correa,87,ST,RM,171,70,Argentina,LaLiga,Atlético de Madrid
Marc Cucurella,87,LB,,173,67,Spain,Premier League,Chelsea
Danilo,87,CB,RB,184,78,Brazil,Serie A,Juventus
Diogo Dalot,87,RB,LB,183,76,Portugal,Premier League,Man Utd
Sergi Darder,87,CM,"CAM, CDM",180,71,Spain,LaLiga,RCD Mallorca
Alphonso Davies,87,LB,LM,185,77,Canada,Bundesliga,FC Bayern München
Giovanni Di Lorenzo,87,RB,RM,183,82,Italy,Serie A,SSC Napoli
Brahim,87,CAM,"RW, LW",170,68,Morocco,LaLiga,Real Madrid
Denzel Dumfries,87,RB,RM,188,80,Holland,Serie A,Inter Milan
Edin Džeko,87,ST,,193,80,Bosnia and Herzegovina,Trendyol Süper Lig,Fenerbahçe
Enzo Fernández,87,CM,CDM,178,78,Argentina,Premier League,Chelsea
Gabriel Jesus,87,ST,,175,73,Brazil,Premier League,Arsenal
Jorginho,87,CDM,CM,178,68,Italy,Premier League,Arsenal
Pau Torres,87,CB,,191,80,Spain,Premier League,Aston Villa
Niclas Füllkrug,87,ST,,188,83,Germany,Premier League,West Ham United
Gayà,87,LB,,172,66,Spain,LaLiga,Valencia CF
Paulo Gazzaniga,87,GK,,196,90,Argentina,LaLiga,Girona FC
Matthias Ginter,87,CB,,189,87,Germany,Bundesliga,SC Freiburg
Serge Gnabry,87,RM,"ST, LM, RW",176,77,Germany,Bundesliga,FC Bayern München
Anthony Gordon,87,LW,LM,183,72,England,Premier League,Newcastle United
Raphaël Guerreiro,87,LB,CM,170,71,Portugal,Bundesliga,FC Bayern München
Péter Gulácsi,87,GK,,191,86,Hungary,Bundesliga,RB Leipzig
Yangel Herrera,87,CDM,CM,184,77,Venezuela,LaLiga,Girona FC
Jonas Hofmann,87,CAM,ST,176,72,Germany,Bundesliga,Bayer Leverkusen
Ciro Immobile,87,ST,,185,85,Italy,Trendyol Süper Lig,Beşiktaş
Reece James,87,RB,,179,91,England,Premier League,Chelsea
Boubacar Kamara,87,CDM,CM,184,68,France,Premier League,Aston Villa
Randal Kolo Muani,87,ST,,187,73,France,Ligue 1,Paris SG
Filip Kostić,87,LM,"LB, LW",184,84,Serbia,Serie A,Juventus
Mohammed Kudus,87,RM,"CAM, LM, RW",177,70,Ghana,Premier League,West Ham United
Dejan Kulusevski,87,RM,"RW, CAM",186,80,Sweden,Premier League,Tottenham Hotspur
Alexandre Lacazette,87,ST,,175,73,France,Ligue 1,Olympique Lyon
Jeremías Conan Ledesma,87,GK,,186,83,Argentina,Libertadores,River Plate
Bernd Leno,87,GK,,189,83,Germany,Premier League,Fulham
Stanislav Lobotka,87,CM,CDM,170,68,Slovakia,Serie A,SSC Napoli
Ademola Lookman,87,ST,,174,71,Nigeria,Serie A,Bergamo Calcio
Romelu Lukaku,87,ST,,191,94,Belgium,Serie A,SSC Napoli
Gianluca Mancini,87,CB,,190,77,Italy,Serie A,AS Roma
John McGinn,87,CM,"CDM, RM",178,68,Scotland,Premier League,Aston Villa
Nahuel Molina,87,RB,,175,70,Argentina,LaLiga,Atlético de Madrid
Savinho,87,LW,LM,176,71,Brazil,Premier League,Manchester City
Thomas Müller,87,CAM,ST,185,76,Germany,Bundesliga,FC Bayern München
Darwin Núñez,87,ST,,187,81,Uruguay,Premier League,Liverpool
Michael Olise,87,RM,"RW, CAM",184,73,France,Bundesliga,FC Bayern München
Oyarzabal,87,ST,"LW, LM",181,79,Spain,LaLiga,Real Sociedad
Thomas Partey,87,CDM,CM,185,77,Ghana,Premier League,Arsenal
Tijjani Reijnders,87,CM,"CDM, CAM",185,73,Holland,Serie A,AC Milan
Fabián Ruiz,87,CM,CDM,189,70,Spain,Ligue 1,Paris SG
Brice Samba,87,GK,,187,90,France,Ligue 1,RC Lens
Sancet,87,CAM,"CM, ST",188,77,Spain,LaLiga,Athletic Club
Jadon Sancho,87,LM,"RM, LW",180,76,England,Premier League,Chelsea
Fabian Schär,87,CB,,188,84,Switzerland,Premier League,Newcastle United
Patrik Schick,87,ST,,191,87,Czech Republic,Bundesliga,Bayer Leverkusen
Luke Shaw,87,LB,CB,181,75,England,Premier League,Man Utd
Alexander Sørloth,87,ST,,195,94,Norway,LaLiga,Atlético de Madrid
Luis Suárez,87,ST,,182,86,Uruguay,MLS,Inter Miami CF
Niklas Süle,87,CB,RB,195,99,Germany,Bundesliga,Borussia Dortmund
Kevin Trapp,87,GK,,189,84,Germany,Bundesliga,Frankfurt
Destiny Udogie,87,LB,,186,73,Italy,Premier League,Tottenham Hotspur
Dayot Upamecano,87,CB,,186,90,France,Bundesliga,FC Bayern München
Micky van de Ven,87,CB,,193,86,Holland,Premier League,Tottenham Hotspur
Raphaël Varane,87,CB,,191,81,France,Serie A,Como
Iñaki Williams,87,RM,"ST, RW",186,80,Ghana,LaLiga,Athletic Club
Luciano Acosta,86,CAM,LM,161,59,Argentina,MLS,FC Cincinnati
Edson Álvarez,86,CDM,CM,187,73,Mexico,Premier League,West Ham United
Yeray,86,CB,,182,79,Spain,LaLiga,Athletic Club
Waldemar Anton,86,CB,RB,189,86,Germany,Bundesliga,Borussia Dortmund
Alphonse Areola,86,GK,,195,94,France,Premier League,West Ham United
Marco Asensio,86,RW,"CM, RM",182,76,Spain,Ligue 1,Paris SG
Balde,86,LB,"RB, LM",175,69,Spain,LaLiga,FC Barcelona
Rodrigo Bentancur,86,CM,CDM,187,73,Uruguay,Premier League,Tottenham Hotspur
Álex Berenguer,86,LM,"RM, LW",175,73,Spain,LaLiga,Athletic Club
Sergio Busquets,86,CDM,"CM, CB",189,76,Spain,MLS,Inter Miami CF
Bryan Cristante,86,CM,"CDM, CB",186,80,Italy,Serie A,AS Roma
Ricardo Horta,86,CAM,"LM, RM",173,63,Portugal,Liga Portugal,SC Braga
Rui Silva,86,GK,,191,91,Portugal,LaLiga,Real Betis
Matteo Darmian,86,RB,"CB, RM",183,70,Italy,Serie A,Inter Milan
Jonathan David,86,ST,,175,70,Canada,Ligue 1,LOSC Lille
Richarlison,86,ST,LM,184,71,Brazil,Premier League,Tottenham Hotspur
Luuk de Jong,86,ST,,189,86,Holland,Eredivisie,PSV Eindhoven
Fred,86,CDM,CM,169,62,Brazil,Trendyol Süper Lig,Fenerbahçe
Eberechi Eze,86,CAM,"CM, LM",178,67,England,Premier League,Crystal Palace
Youssouf Fofana,86,CDM,CM,185,74,France,Serie A,AC Milan
Davide Frattesi,86,CM,CAM,178,74,Italy,Serie A,Inter Milan
Remo Freuler,86,CDM,CM,181,80,Switzerland,Serie A,Bologna
